block_size,grid_size,iterations,grid_dimension,average_cpu_time,average_gpu_time,speedup
16,256,50,100,0.003310,0.143561,0.023056
16,256,50,500,0.104862,0.141578,0.740665
16,256,50,1000,0.423775,0.147134,2.880197
16,256,50,10000,42.244411,0.576021,73.338317
16,256,100,100,0.006560,0.140740,0.046610
16,256,100,500,0.220435,0.148276,1.486653
16,256,100,1000,0.878094,0.152923,5.742066
16,256,100,10000,84.710752,0.877944,96.487648
16,512,50,100,0.003294,0.145802,0.022592
16,512,50,500,0.105005,0.150263,0.698808
16,512,50,1000,0.423979,0.156023,2.717413
16,512,50,10000,42.234189,0.508986,82.977113
16,512,100,100,0.006577,0.155688,0.042244
16,512,100,500,0.220234,0.163628,1.345943
16,512,100,1000,0.874960,0.172784,5.063894
16,512,100,10000,84.654941,0.730515,115.883918
16,1024,50,100,0.003287,0.171006,0.019221
16,1024,50,500,0.104924,0.183247,0.572582
16,1024,50,1000,0.423522,0.194318,2.179530
16,1024,50,10000,42.206949,0.498117,84.733002
16,1024,100,100,0.006556,0.205373,0.031922
16,1024,100,500,0.220524,0.218906,1.007391
16,1024,100,1000,0.873941,0.244002,3.581696
16,1024,100,10000,84.682475,0.708882,119.459197
32,256,50,100,0.003301,0.146142,0.022587
32,256,50,500,0.104954,0.152460,0.688403
32,256,50,1000,0.423880,0.161319,2.627588
32,256,50,10000,42.230727,0.631480,66.875794
32,256,100,100,0.006557,0.179473,0.036534
32,256,100,500,0.220249,0.192893,1.141819
32,256,100,1000,0.874685,0.200886,4.354136
32,256,100,10000,84.735046,0.917130,92.391532
32,512,50,100,0.003289,0.177816,0.018496
32,512,50,500,0.104883,0.189982,0.552068
32,512,50,1000,0.423931,0.203973,2.078368
32,512,50,10000,42.227588,0.660968,63.887492
32,512,100,100,0.006563,0.213807,0.030695
32,512,100,500,0.220107,0.215166,1.022963
32,512,100,1000,0.873571,0.239725,3.644054
32,512,100,10000,84.656777,1.001318,84.545346
32,1024,50,100,0.003289,0.291733,0.011274
32,1024,50,500,0.104926,0.292275,0.358997
32,1024,50,1000,0.424537,0.297535,1.426847
32,1024,50,10000,42.211728,0.788658,53.523489
32,1024,100,100,0.006555,0.446663,0.014675
32,1024,100,500,0.220341,0.448908,0.490837
32,1024,100,1000,0.873629,0.455633,1.917396
32,1024,100,10000,84.696791,1.272579,66.555232
